"shape_id","shape_pt_lat","shape_pt_sequence"
"4__8____2__IT_1","40.4719350108743","2000050"
"4__8____2__IT_1","40.4719501744247","2000049"
"4__8____2__IT_1","40.4719578476313","2000048"
"4__8____2__IT_1","40.4719730111637","2000047"
"4__8____2__IT_1","40.4719806852651","2000046"
"4__8____2__IT_1","40.4719882674767","2000045"
"4__8____2__IT_1","40.4719959388715","2000044"
"4__8____2__IT_1","40.4720111041854","2000043"
"4__8____2__IT_1","40.4720187764749","2000042"
"4__8____2__IT_1","40.4720263604781","2000041"
"4__8____2__IT_1","40.4720340318628","2000040"
"4__8____2__IT_1","40.4720491971564","2000039"
"4__8____2__IT_1","40.4720568694418","2000038"
"4__8____2__IT_1","40.4720644507322","2000037"
"4__8____2__IT_1","40.4720721248094","2000036"
"4__8____2__IT_1","40.4720872882811","2000035"
"4__8____2__IT_1","40.4720949623522","2000034"
"4__8____2__IT_1","40.4721025436325","2000033"
"4__8____2__IT_1","40.4721102158978","2000032"
"4__8____2__IT_1","40.4721177998767","2000031"
"4__8____2__IT_1","40.4721254718242","2000030"
"4__8____2__IT_1","40.4723728395304","2000029"
"4__8____2__IT_1","40.4726189548172","2000028"
"4__8____2__IT_1","40.4728655153956","2000027"
"4__8____2__IT_1","40.4731133306836","2000026"
"4__8____2__IT_1","40.4733606933671","2000025"
"4__8____2__IT_1","40.4736078802824","2000024"
"4__8____2__IT_1","40.4738550579292","2000023"
"4__8____2__IT_1","40.4741021472012","2000022"
"4__8____2__IT_1","40.4741901717942","2000021"
"4__8____2__IT_1","40.4743495025128","2000020"
"4__8____2__IT_1","40.4745967641402","2000019"
"4__8____2__IT_1","40.4748437634559","2000018"
"4__8____2__IT_1","40.4750911120757","2000017"
"4__8____2__IT_1","40.4753383652013","2000016"
"4__8____2__IT_1","40.4755859810131","2000015"
"4__8____2__IT_1","40.4756006951507","2000014"
"4__8____2__IT_1","40.475638967691","2000013"
"4__8____2__IT_1","40.4756582357781","2000012"
"4__8____2__IT_1","40.4756773278785","2000011"
"4__8____2__IT_1","40.4756963256826","2000010"
"4__8____2__IT_1","40.4757152348835","2000009"
"4__8____2__IT_1","40.4757719615467","2000008"
"4__8____2__IT_1","40.4757906887478","2000007"
"4__8____2__IT_1","40.4758093279343","2000006"
"4__8____2__IT_1","40.4758126275152","2000005"
"4__8____2__IT_1","40.4758378720961","2000004"
"4__8____2__IT_1","40.4758632058518","2000003"
"4__8____2__IT_1","40.4759588230132","2000002"
"4__8____2__IT_1","40.4761999615734","1000007"
"4__8____2__IT_1","40.4761999615734","2000001"
"4__8____2__IT_1","40.4769220639227","1000006"
"4__8____2__IT_1","40.4784334215702","1000005"
"4__8____2__IT_1","40.4809069358473","1000004"
"4__8____2__IT_1","40.4860567928813","1000003"
"4__8____2__IT_1","40.4889646653168","1000002"
"4__8____2__IT_1","40.492586837323","1000001"
"4__9_A___1__IT_1","40.3971982270454","20000064"
"4__9_A___1__IT_1","40.3971983205119","20000065"
"4__9_A___1__IT_1","40.397199255052","20000063"
"4__9_A___1__IT_1","40.3971998813358","20000066"
