"stop_id","stop_desc","stop_lat","stop_lon","location_type","wheelchair_boarding"
"acc_4_100_271","Avda de los Poblados 41","40.38582","-3.76105","2","0"
"acc_4_100_272","Calle de Maqueda SN","40.38597","-3.76088","2","0"
"acc_4_100_273","Avda de los Poblados 41","40.38576","-3.7612","2","0"
"acc_4_100_274","Calle de Maqueda SN","40.38595","-3.76085","2","0"
"acc_4_100_275","Avda de los Poblados 41","40.38538","-3.76067","2","0"
"acc_4_100_276","Calle de Valmojado SN","40.3853","-3.76043","2","0"
"acc_4_100_277","Calle de Valmojado 293","40.38546","-3.76043","2","0"
"acc_4_101_278","Calle de Padre Piquer 37","40.39085","-3.76591","2","0"
"acc_4_102_279","Avda del Padre Piquer 8","40.39445","-3.76827","2","0"
"acc_4_102_280","Avda del Padre Piquer 7","40.39469","-3.7681","2","0"
"acc_4_103_281","Ctra del Zoo SN","40.40318","-3.7609","2","0"
"acc_4_103_282","Ctra del Zoo SN","40.40331","-3.76103","2","0"
"acc_4_104_1029","Calle de Cuart de Poblet 1 B","40.39918","-3.74464","2","0"
"acc_4_104_1030","Calle de Cuart de Poblet 1 B","40.39915","-3.74463","2","0"
"acc_4_104_1031","Calle de Cuart de Poblet 1 B","40.39913","-3.74463","2","0"
"acc_4_104_284","Calle de la Alhambra 56","40.39917","-3.74454","2","0"
"acc_4_104_285","Calle de la Alhambra 33","40.39903","-3.74422","2","0"
"acc_4_105_1033","Calle  Vía Carpetana 141","40.39278","-3.74097","2","0"
"acc_4_105_1035","Calle  Vía Carpetana 139","40.39332","-3.74058","2","0"
"acc_4_105_1036","Calle  Vía Carpetana 139","40.39322","-3.74069","2","0"
"acc_4_105_286","Calle  Vía Carpetana 306","40.39277","-3.74134","2","0"
"acc_4_107_287","Calle de Portalegre 98","40.38635","-3.72348","2","0"
"acc_4_107_288","Calle de Portalegre 73","40.38584","-3.72337","2","0"
"acc_4_108_289","Avda de Oporto 4","40.38529","-3.71853","2","0"
"acc_4_108_290","Plaza de Fernández Ladreda 5","40.38561","-3.71776","2","0"
"acc_4_108_291","Plaza de Fernández Ladreda 5","40.38537","-3.71815","2","0"
"acc_4_108_292","Calle de Marcelo Usera 170","40.38529","-3.71618","2","0"
"acc_4_108_293","Plaza de Fernández Ladreda 2","40.38512","-3.71672","2","0"
"acc_4_108_800","Calle  Vía Lusitana 2","40.38448","-3.71823","2","0"
"acc_4_109_294","Calle de Amparo Usera 46","40.38703","-3.70663","2","0"
"acc_4_109_295","Calle de Mirasierra 41","40.38822","-3.70374","2","0"
"acc_4_109_806","Plaza de Amparo Usera  1","40.38701","-3.7068","2","0"
"acc_4_10_34","Calle de Barceló 2","40.42628","-3.70082","2","0"
"acc_4_10_35","Calle de Fuencarral 78","40.4262","-3.70103","2","0"
"acc_4_10_36","Calle de Fuencarral 81","40.42569","-3.70111","2","0"
"acc_4_111_296","Calle de Mendez Álvaro 73","40.39611","-3.6806","2","0"
"acc_4_111_297","Calle de Méndez Álvaro 64 C","40.39594","-3.68087","2","0"
"acc_4_111_299","Calle de Pedro Bosch SN","40.39629","-3.67882","2","0"
"acc_4_111_595","Calle de Pedro Bosch SN","40.39571","-3.67974","2","0"
"acc_4_111_596","Calle del Ombu 20","40.39418","-3.67749","2","0"
"acc_4_113_301","Calle del Doctor Esquerdo 175","40.40707","-3.66999","2","0"
"acc_4_113_302","Plaza del Conde de Casal 2","40.40702","-3.67068","2","0"
"acc_4_113_303","Calle del Doctor Esquerdo 159","40.40868","-3.6698","2","0"
"acc_4_113_304","Calle del Doctor Esquerdo 114","40.4087","-3.67022","2","0"
"acc_4_113_801","Plaza del Conde de Casal 2","40.40701","-3.67071","2","0"
"acc_4_114_1038","Calle del Doctor Esquerdo 68","40.41461","-3.66974","2","0"
"acc_4_114_1039","Calle del Doctor Esquerdo 68","40.41457","-3.66974","2","0"
"acc_4_114_305","Calle del Doctor Esquerdo 62","40.41548","-3.66966","2","0"
"acc_4_114_306","Calle de Doctor Esquerdo 103","40.4154","-3.66928","2","0"
"acc_4_114_307","Calle del Doctor Esquerdo 107","40.41469","-3.66929","2","0"
"acc_4_114_308","Calle del Doctor Esquerdo 66","40.41479","-3.66973","2","0"
"acc_4_115_309","Calle del Doctor Esquerdo 42","40.4215","-3.66917","2","0"
"acc_4_115_310","Calle del Doctor Esquerdo 36","40.42266","-3.6691","2","0"
"acc_4_115_311","Calle del Doctor Esquerdo 34","40.42321","-3.66905","2","0"
"acc_4_115_312","Calle del Doctor Esquerdo 49","40.42282","-3.66859","2","0"
"acc_4_119_313","Plaza de la República Argentina 8","40.44495","-3.68488","2","0"
"acc_4_119_314","Calle de Joaquín Costa 41","40.44369","-3.6837","2","0"
"acc_4_119_315","Calle de Joaquín Costa 26","40.44336","-3.68394","2","0"
"acc_4_119_316","Calle de Juan de la Cierva SN","40.4432","-3.68344","2","0"
"acc_4_11_37","Calle  Gran Vía 21","40.41991","-3.7013","2","0"
"acc_4_11_38","Calle  Gran Vía 23","40.41992","-3.70183","2","0"
"acc_4_11_39","Calle  Gran vía 28","40.42013","-3.70181","2","0"
"acc_4_11_40","Calle de la Montera 44","40.41951","-3.70167","2","0"
"acc_4_120_317","Calle de Orense 3","40.44707","-3.69538","2","0"
"acc_4_120_318","Calle de Agustín de Betancourt 25","40.4461","-3.69524","2","0"
"acc_4_120_319","Paseo de la Castellana 71","40.44695","-3.69314","2","0"
"acc_4_120_320","Calle de Raimundo Fernández Villaverde 67","40.44658","-3.69243","2","0"
"acc_4_120_321","Calle de Raimundo Fernandez Villaverde 67","40.44658","-3.69301","2","0"
"acc_4_120_322","Calle de Raimundo Fernandez Villaverde 67","40.44656","-3.69301","2","0"
"acc_4_120_395","Paseo de la Castellana 67","40.44592","-3.6917","2","0"
"acc_4_120_396","Paseo de la Castellana 110","40.44583","-3.69073","2","0"
"acc_4_120_397","Paseo de la Castellana 69","40.44662","-3.69153","2","0"
"acc_4_120_398","Paseo de la Castellana 100","40.44437","-3.69094","2","0"
"acc_4_120_399","Paseo de la Castellana 69","40.44657","-3.69218","2","0"
"acc_4_120_403","Paseo de la Castellana 67","40.44483","-3.69175","2","0"
"acc_4_120_404","Paseo de la Castellana 69","40.44652","-3.69155","2","0"
"acc_4_120_405","Paseo de la Castellana 100","40.44457","-3.69091","2","0"
"acc_4_120_406","Calle de Raimundo Fernández Villaverde 67","40.44657","-3.6921","2","0"
"acc_4_120_603","Calle de Raimundo Fernández Villaverde 67","40.44658","-3.6925","2","0"
"acc_4_120_605","Calle de Raimundo Fernández Villaverde 67","40.44624","-3.69368","2","0"
"acc_4_120_606","Calle de Raimundo Fernández Villaverde 67","40.4463","-3.69368","2","0"
"acc_4_120_607","Calle de Raimundo Fernández Villaverde 67","40.44619","-3.69371","2","0"
"acc_4_120_608","Paseo de la Castellana 67","40.44517","-3.69199","2","0"
"acc_4_120_609","Paseo de la Castellana 67","40.44505","-3.692","2","0"
"acc_4_122_323","Calle del General Rodrigo 17","40.4457","-3.71401","2","0"
"acc_4_122_324","Avda de la Reina Victoria 55","40.44598","-3.71321","2","0"
"acc_4_122_325","Avda de la Reina Victoria 55","40.44589","-3.71366","2","0"
"acc_4_122_326","Calle de la Reina Victoria 32","40.44707","-3.71023","2","0"
