"stop_id","stop_name"
"acc_4_1_3","Bravo Murillo"
"acc_4_1_4","Paseo Castellana pares"
"acc_4_1_773","Intercambiador"
"acc_4_200_482","Villamanín"
"acc_4_200_483","Venta del Batán"
"acc_4_202_484","Sedano"
"acc_4_202_485","Crta. Carabanchel - Aravaca"
"acc_4_202_486","Ascensor"
"acc_4_203_487","Pº de Extremadura"
"acc_4_203_488","Pº de los Húsares"
"acc_4_203_489","Ascensor nº2"
"acc_4_203_490","Ascensor nº1"
"acc_4_204_491","Avenida de la Libertad pares"
"acc_4_204_492","Avenida de la Libertad impares"
"acc_4_204_493","Ascensor"
"acc_4_205_494","Avenida de la Libertad pares"
"acc_4_205_495","Avenida de la Libertad impares"
"acc_4_205_496","Ascensor"
"acc_4_205_497","Olímpico Francisco Fernández Ochoa"
"acc_4_207_498","Avda. de Abrantes impares"
"acc_4_207_499","Avda. de Abrantes pares"
"acc_4_207_500","Ascensor"
"acc_4_208_501","Avda. de Abrantes pares - Besolla"
"acc_4_208_502","Avda. de Abrantes impares - Besolla"
"acc_4_208_503","Ascensor"
"acc_4_20_66","Norte pares"
"acc_4_20_67","Norte impares"
"acc_4_20_68","Sur impares"
"acc_4_20_69","Sur pares"
"acc_4_210_504","Avda. de Leganés"
"acc_4_210_505","Ascensor"
"acc_4_211_506","Avda. Móstoles-Navalcarnero"
"acc_4_211_507","Avda. Móstoles-Bailén"
"acc_4_211_508","Ascensor exterior"
"acc_4_211_509","Avda. Móstoles"
"acc_4_211_582","C/ Berlín Hospital"
"acc_4_211_583","C/ Berlín por 2º vestíbulo renfe"
"acc_4_211_584","Ascensor exterior RENFE"
"acc_4_212_510","Estambul"
"acc_4_212_511","Ascensor"
"acc_4_213_512","Avda. Alcalde de Móstoles"
"acc_4_213_513","Ascensor"
"acc_4_213_576","Avda. Alcalde de Móstoles"
"acc_4_214_514","Paseo de la Estación"
"acc_4_214_515","Ascensor exterior RENFE 1"
"acc_4_214_586","Goya"
"acc_4_214_587","Ascensor exterior RENFE 2"
"acc_4_215_516","Pza. de Pradillo"
"acc_4_215_517","Ascensor"
"acc_4_216_518","Río Ebro - Río Sella"
"acc_4_216_519","Ascensor"
"acc_4_217_520","Manuela Malasaña"
"acc_4_217_521","Ascensor"
"acc_4_218_522","Avda. de Pablo Iglesias"
"acc_4_218_523","Pza. de la Concordia"
"acc_4_218_524","Ascensor"
"acc_4_219_525","Cº del Molino - Hospital"
"acc_4_219_526","Cº del Molino - Universidad"
"acc_4_219_527","Ascensor"
"acc_4_21_70","Albufera pares"
"acc_4_21_71","Rogelio Folgueras"
"acc_4_21_72","Albufera impares"
"acc_4_21_73","Teniente Muñoz Díaz"
"acc_4_220_528","Francia"
"acc_4_220_529","Ascensor"
"acc_4_221_530","Pº de la Estación"
"acc_4_221_531","Ascensor no acceso independiente"
"acc_4_221_589","Paseo de Roma"
"acc_4_221_590","Ascensor exterior RENFE"
"acc_4_222_532","Avda. de los Estados"
"acc_4_222_533","La Habana"
"acc_4_222_534","Ascensor"
"acc_4_223_535","Las Ciencias"
"acc_4_223_536","Ascensor"
"acc_4_224_537","Senda de Mafalda"
"acc_4_224_538","Ascensor"
"acc_4_225_539","Ferrocarril - El Greco"
"acc_4_225_540","Ascensor"
"acc_4_226_543","Paseo del Ferrocarril"
"acc_4_226_544","Ramon y Cajal"
"acc_4_226_545","Ascensor exterior RENFE 1"
"acc_4_227_546","Avda. de España pares"
"acc_4_227_547","Avda. de España impares"
"acc_4_227_548","Ascensor"
"acc_4_228_1084","C. Gitanilla"
"acc_4_228_1085","Ascensor"
"acc_4_228_549","Avda. del Casar"
"acc_4_228_550","Ascensor"
"acc_4_229_551","Avda. de Rigoberta Menchú"
"acc_4_229_552","Ascensor"
"acc_4_22_74","Pío Felipe"
"acc_4_22_75","Buenos Aires"
"acc_4_230_553","El Bercial"
"acc_4_231_555","Avda. Rey Juan Carlos I pares"
"acc_4_231_556","Avda. Rey Juan Carlos I impares"
"acc_4_231_557","Ascensor"
"acc_4_232_558","Avda. Rey Juan Carlos I pares"
"acc_4_232_559","Avda. Rey Juan Carlos I impares"
"acc_4_232_560","Ascensor"
"acc_4_233_561","Casa del Reloj"
"acc_4_233_562","Avda. de Gibraltar impares"
"acc_4_233_563","Ascensor"
"acc_4_234_564","Avda. de Orellana"
"acc_4_234_565","Hospital Severo Ochoa"
"acc_4_234_566","Ascensor"
"acc_4_235_567","Avda. del Cobre"
"acc_4_235_568","Ascensor"
"acc_4_235_592","Virgen del Camino"
"acc_4_235_593","Ascensor exterior RENFE"
"acc_4_236_569","Avda. del Mar Mediterráneo"
"acc_4_236_570","La Encina"
"acc_4_236_571","Ascensor"
"acc_4_23_76","Albufera impares"
"acc_4_23_77","Albufera pares"
"acc_4_23_78","Ascensor"
"acc_4_24_79","Rafael Alberti - Ambulatorio"
"acc_4_24_80","Albufera pares"
"acc_4_24_81","Aparcamiento"
"acc_4_24_82","Ascensor"
"acc_4_252_623","Corbeta"
"acc_4_252_624","Ascensor"
"acc_4_253_625","Velero"
"acc_4_253_626","Ascensor"
"acc_4_253_627","Pinos de Osuna"
"acc_4_254_628","Avda. Los Poblados impares"
"acc_4_254_629","Avda. Los Poblados pares"
"acc_4_254_630","Ascensor"
"acc_4_255_631","Avda. Carabanchel Alto"
"acc_4_255_632","Ascensor"
"acc_4_256_633","Avda. La Peseta"
"acc_4_256_634","Ascensor"
"acc_4_257_635","Fuente de Lima"
"acc_4_257_636","Ascensor"
"acc_4_258_637","Gran Vía de Hortaleza"
"acc_4_258_638","Ascensor"
"acc_4_259_639","Bronce"
"acc_4_25_577","Acceso Glorieta RENFE"
"acc_4_25_83","Avenida de la Democracia"
"acc_4_25_84","Correspondencia RENFE"
"acc_4_25_85","Ascensor exterior RENFE"
"acc_4_25_86","Avda. de la Democracia - Arboleda"
"acc_4_260_640","Avda. Marqués de Corbera"
"acc_4_260_641","Ascensor"
"acc_4_261_474","Chamartín"
"acc_4_261_642","Ascensor"
"acc_4_262_643","Bambú"
"acc_4_262_644","Ascensor"
"acc_4_263_645","Arturo Soria"
"acc_4_263_646","Ascensor"
"acc_4_264_647","Capitán Cortés"
"acc_4_264_648","Costa del Sol"
"acc_4_265_649","Vélez Rubio"
"acc_4_265_650","Ascensor"
"acc_4_267_651","Avda. Córdoba impares"
"acc_4_267_652","Avda. Córdoba pares"
"acc_4_267_653","Ascensor"
"acc_4_268_654","Glorieta de Málaga"
"acc_4_268_655","Ascensor"
"acc_4_269_656","Avda. Perla"
"acc_4_269_657","Avda. Andalucia pares"
"acc_4_269_658","Ascensor"
"acc_4_26_87","Pº Federico García Lorca"
"acc_4_26_88","Sierra Vieja"
"acc_4_26_89","Ascensor"
"acc_4_270_659","Tertulia"
"acc_4_270_660","Paseo Gigantes y Cabezudos"
"acc_4_270_661","Ascensor"
"acc_4_271_662","Santiago Amón"
"acc_4_271_663","Santa Petronila"
"acc_4_271_664","Ascensor"
