"interaction","gene","title","cosmid"
"","http://bio2rdf.org/wormbase:WBGene00165027","WBGene00165027 (21ur-11151)","Y73F8A.500"
"","http://bio2rdf.org/wormbase:WBGene00165028","WBGene00165028 (21ur-6431)","Y67A10A.148"
"","http://bio2rdf.org/wormbase:WBGene00165029","WBGene00165029 (21ur-9824)","Y40H7A.151"
"","http://bio2rdf.org/wormbase:WBGene00165030","WBGene00165030 (21ur-5719)","Y57G11C.500"
"","http://bio2rdf.org/wormbase:WBGene00165031","WBGene00165031 (21ur-9354)","Y105C5A.513"
"","http://bio2rdf.org/wormbase:WBGene00165032","WBGene00165032 (21ur-7930)","Y105C5A.514"
"","http://bio2rdf.org/wormbase:WBGene00165033","WBGene00165033 (21ur-14211)","W06F12.4"
"","http://bio2rdf.org/wormbase:WBGene00165034","WBGene00165034 (21ur-10350)","Y51H4A.407"
"","http://bio2rdf.org/wormbase:WBGene00165035","WBGene00165035 (21ur-12577)","Y105C5A.515"
"","http://bio2rdf.org/wormbase:WBGene00165036","WBGene00165036 (21ur-8400)","Y57G11C.501"
"","http://bio2rdf.org/wormbase:WBGene00165037","WBGene00165037 (21ur-8299)","C08F11.55"
"","http://bio2rdf.org/wormbase:WBGene00165038","WBGene00165038 (21ur-9842)","LLC1.46"
"","http://bio2rdf.org/wormbase:WBGene00165039","WBGene00165039 (21ur-5880)","Y51H4A.408"
"","http://bio2rdf.org/wormbase:WBGene00165040","WBGene00165040 (21ur-13486)","Y41E3.215"
"","http://bio2rdf.org/wormbase:WBGene00165041","WBGene00165041 (21ur-5951)","Y37A1A.73"
"","http://bio2rdf.org/wormbase:WBGene00165042","WBGene00165042 (21ur-10453)","C52D10.58"
"","http://bio2rdf.org/wormbase:WBGene00165043","WBGene00165043 (21ur-7485)","Y73F8A.501"
"","http://bio2rdf.org/wormbase:WBGene00165044","WBGene00165044 (21ur-12258)","F25B3.7"
"","http://bio2rdf.org/wormbase:WBGene00165045","WBGene00165045 (21ur-8436)","R05A10.62"
"","http://bio2rdf.org/wormbase:WBGene00165046","WBGene00165046 (21ur-10091)","H34C03.3"
"","http://bio2rdf.org/wormbase:WBGene00165047","WBGene00165047 (21ur-12645)","F36H12.34"
"","http://bio2rdf.org/wormbase:WBGene00165048","WBGene00165048 (21ur-7066)","H04M03.28"
"","http://bio2rdf.org/wormbase:WBGene00165049","WBGene00165049 (21ur-15672)","Y9C9A.37"
"","http://bio2rdf.org/wormbase:WBGene00165050","WBGene00165050 (21ur-14049)","Y105C5B.614"
"","http://bio2rdf.org/wormbase:WBGene00165051","WBGene00165051 (21ur-14338)","T23G4.53"
"","http://bio2rdf.org/wormbase:WBGene00165052","WBGene00165052 (21ur-12499)","W04B5.7"
"","http://bio2rdf.org/wormbase:WBGene00165053","WBGene00165053 (21ur-8229)","Y40H7A.152"
"","http://bio2rdf.org/wormbase:WBGene00165054","WBGene00165054 (21ur-13726)","Y105C5A.516"
"","http://bio2rdf.org/wormbase:WBGene00165055","WBGene00165055 (21ur-12136)","Y105C5A.517"
