"stop_id","stop_name","location_type","parent_station"
"acc_4_177_451","Pico de Artilleros","2","est_4_177"
"acc_4_178_452","Hacienda de Pavones impares","2","est_4_178"
"acc_4_178_453","Hacienda de Pavones pares","2","est_4_178"
"acc_4_178_803","Terminal Autobuses","2","est_4_178"
"acc_4_179_454","Bulevar Indalecio Prieto - Raya","2","est_4_179"
"acc_4_179_455","Ascensor","2","est_4_179"
"acc_4_179_456","Bulevar Indalecio Prieto - Los Pinilla","2","est_4_179"
"acc_4_17_57","Menéndez Pelayo impares","2","est_4_17"
"acc_4_17_58","Menéndez Pelayo pares","2","est_4_17"
"acc_4_17_59","Gutenberg","2","est_4_17"
"acc_4_180_457","Pº Artilleros impares","2","est_4_180"
"acc_4_180_458","Pº Artilleros pares","2","est_4_180"
"acc_4_180_459","Ascensor","2","est_4_180"
"acc_4_181_460","San Cipriano pares","2","est_4_181"
"acc_4_181_461","San Cipriano impares","2","est_4_181"
"acc_4_181_462","Ascensor","2","est_4_181"
"acc_4_182_463","Terminal de Autobuses","2","est_4_182"
"acc_4_182_464","Terminal Autobús - RENFE","2","est_4_182"
"acc_4_182_465","Ascensor no acceso independiente","2","est_4_182"
"acc_4_183_467","Pº Ferrocarril","2","est_4_183"
"acc_4_184_468","Wenceslao Garcia","2","est_4_184"
"acc_4_185_469","Ctra. Campo Real","2","est_4_185"
"acc_4_186_470","Pº de la Estación","2","est_4_186"
"acc_4_187_471","Barrio Sta. Ana","2","est_4_187"
"acc_4_188_472","Cdad. Sanitaria La Paz","2","est_4_188"
"acc_4_188_473","San Modesto","2","est_4_188"
"acc_4_18_1050","Ascensor","2","est_4_18"
"acc_4_18_60","Doctor Esquerdo pares","2","est_4_18"
"acc_4_18_61","Doctor Esquerdo impares","2","est_4_18"
"acc_4_18_62","Sánchez Barcaíztegui","2","est_4_18"
"acc_4_191_475","Paseo Castellana impares","2","est_4_191"
"acc_4_191_476","Paseo Castellana pares","2","est_4_191"
"acc_4_192_477","Plaza de Lima","2","est_4_192"
"acc_4_192_478","Paseo Castellana pares","2","est_4_192"
"acc_4_192_479","Paseo Castellana impares","2","est_4_192"
"acc_4_192_480","Paseo Castellana pares","2","est_4_192"
"acc_4_199_481","El Lago","2","est_4_199"
"acc_4_19_63","Albufera pares","2","est_4_19"
"acc_4_19_64","Albufera impares","2","est_4_19"
"acc_4_19_65","Peña Prieta","2","est_4_19"
"acc_4_1_1","Plaza de Castilla","2","est_90_21"
"acc_4_1_1040","Ascensor","2","est_90_21"
"acc_4_1_1043","Intercambiador Superficie","2","est_90_21"
"acc_4_1_1044","Ascensor","2","est_90_21"
"acc_4_1_2","Castellana impares","2","est_90_21"
"acc_4_1_3","Bravo Murillo","2","est_90_21"
"acc_4_1_4","Paseo Castellana pares","2","est_90_21"
"acc_4_1_773","Intercambiador","2","est_90_21"
"acc_4_200_482","Villamanín","2","est_4_200"
"acc_4_200_483","Venta del Batán","2","est_4_200"
"acc_4_202_484","Sedano","2","est_4_202"
"acc_4_202_485","Crta. Carabanchel - Aravaca","2","est_4_202"
"acc_4_202_486","Ascensor","2","est_4_202"
"acc_4_203_487","Pº de Extremadura","2","est_4_203"
"acc_4_203_488","Pº de los Húsares","2","est_4_203"
"acc_4_203_489","Ascensor nº2","2","est_4_203"
"acc_4_203_490","Ascensor nº1","2","est_4_203"
"acc_4_204_491","Avenida de la Libertad pares","2","est_4_204"
"acc_4_204_492","Avenida de la Libertad impares","2","est_4_204"
"acc_4_204_493","Ascensor","2","est_4_204"
"acc_4_205_494","Avenida de la Libertad pares","2","est_4_205"
"acc_4_205_495","Avenida de la Libertad impares","2","est_4_205"
"acc_4_205_496","Ascensor","2","est_4_205"
"acc_4_205_497","Olímpico Francisco Fernández Ochoa","2","est_4_205"
"acc_4_207_498","Avda. de Abrantes impares","2","est_4_207"
"acc_4_207_499","Avda. de Abrantes pares","2","est_4_207"
"acc_4_207_500","Ascensor","2","est_4_207"
"acc_4_208_501","Avda. de Abrantes pares - Besolla","2","est_4_208"
"acc_4_208_502","Avda. de Abrantes impares - Besolla","2","est_4_208"
"acc_4_208_503","Ascensor","2","est_4_208"
"acc_4_20_66","Norte pares","2","est_4_20"
"acc_4_20_67","Norte impares","2","est_4_20"
"acc_4_20_68","Sur impares","2","est_4_20"
"acc_4_20_69","Sur pares","2","est_4_20"
"acc_4_210_504","Avda. de Leganés","2","est_4_210"
"acc_4_210_505","Ascensor","2","est_4_210"
"acc_4_211_506","Avda. Móstoles-Navalcarnero","2","est_4_211"
"acc_4_211_507","Avda. Móstoles-Bailén","2","est_4_211"
"acc_4_211_508","Ascensor exterior","2","est_4_211"
"acc_4_211_509","Avda. Móstoles","2","est_4_211"
"acc_4_211_582","C/ Berlín Hospital","2","est_4_211"
"acc_4_211_583","C/ Berlín por 2º vestíbulo renfe","2","est_4_211"
"acc_4_211_584","Ascensor exterior RENFE","2","est_4_211"
"acc_4_212_510","Estambul","2","est_4_212"
"acc_4_212_511","Ascensor","2","est_4_212"
"acc_4_213_512","Avda. Alcalde de Móstoles","2","est_4_213"
"acc_4_213_513","Ascensor","2","est_4_213"
"acc_4_213_576","Avda. Alcalde de Móstoles","2","est_4_213"
